日期,股票代码,开盘,收盘,最高价,最低价,成交额,成交量
2005-04-08,sh000300,984.660,1003.450,1003.700,979.530,9151349760.000,14762526.000
2005-04-11,sh000300,1003.880,995.420,1008.730,992.770,10436232192.000,15936066.000
2005-04-12,sh000300,993.710,978.700,993.710,978.200,6479563264.000,10226193.000
2005-04-13,sh000300,987.950,1000.900,1006.500,987.950,10029601792.000,16071687.000
2005-04-14,sh000300,1004.640,986.970,1006.420,985.580,7813424640.000,12945710.000
2005-04-15,sh000300,982.610,974.080,982.610,971.930,6541675520.000,10408955.000
2005-04-18,sh000300,970.910,963.770,970.910,958.650,5329138688.000,8598400.000
2005-04-19,sh000300,962.920,965.890,968.870,957.910,5768907776.000,9212623.000
2005-04-20,sh000300,964.150,950.870,964.150,946.200,5300003840.000,8850705.000
2005-04-21,sh000300,948.860,943.980,955.550,938.590,6140645888.000,9946145.000
2005-04-22,sh000300,942.910,939.100,947.910,934.960,6373550592.000,10691884.000
2005-04-25,sh000300,935.990,930.070,935.990,920.160,6667302912.000,11470478.000
2005-04-26,sh000300,928.430,937.080,939.700,924.660,7029372928.000,11690471.000
2005-04-27,sh000300,938.570,926.600,938.910,925.900,6432845824.000,10780611.000
2005-04-28,sh000300,923.530,942.070,945.500,914.830,8315813888.000,14343486.000
2005-04-29,sh000300,940.810,932.400,942.450,929.810,6853192192.000,11235419.000
2005-05-09,sh000300,934.650,909.170,937.390,909.170,4889696256.000,8529115.000
2005-05-10,sh000300,905.540,913.080,913.390,892.310,5960910848.000,10494331.000
2005-05-11,sh000300,911.840,901.850,917.220,900.440,5128333312.000,9042047.000
2005-05-12,sh000300,899.970,885.820,900.060,883.510,6107326976.000,10228720.000
2005-05-13,sh000300,883.510,887.540,898.510,875.580,6228419584.000,11244906.000
2005-05-16,sh000300,885.390,875.270,885.390,869.330,4630088704.000,8224288.000
2005-05-17,sh000300,873.080,881.460,888.280,868.210,4635198464.000,8772273.000
2005-05-18,sh000300,881.140,883.200,890.400,871.820,4615409152.000,7878610.000
2005-05-19,sh000300,882.840,884.170,888.020,871.290,4263472640.000,8149583.000
2005-05-20,sh000300,883.510,882.760,891.020,879.180,3835476224.000,7226676.000
2005-05-23,sh000300,880.280,863.340,880.280,862.100,3725790976.000,7279795.000
2005-05-24,sh000300,861.200,868.460,871.770,855.590,4777971712.000,9206929.000
2005-05-25,sh000300,867.660,868.450,876.300,861.660,3742173184.000,7238556.000
2005-05-26,sh000300,867.760,857.330,872.840,854.960,3470051072.000,6622786.000
2005-05-27,sh000300,855.590,849.510,864.960,848.400,4240678656.000,7749983.000
2005-05-30,sh000300,847.630,855.610,858.460,842.100,3712116224.000,6971583.000
2005-05-31,sh000300,856.560,855.950,863.200,853.290,3601006592.000,7047821.000
2005-06-01,sh000300,855.210,837.530,857.660,836.040,4274074880.000,7902302.000
2005-06-02,sh000300,835.470,818.380,835.490,812.990,5220786176.000,9508657.000
2005-06-03,sh000300,816.550,818.030,823.860,807.970,4164754432.000,7936056.000
2005-06-06,sh000300,816.730,839.000,839.150,807.780,4685006336.000,9009185.000
2005-06-07,sh000300,841.580,837.280,858.090,835.180,7248577536.000,13067068.000
2005-06-08,sh000300,848.540,905.770,908.830,844.470,17414543360.000,32907839.000
2005-06-09,sh000300,907.570,912.600,925.360,895.040,17782386688.000,33141840.000
2005-06-10,sh000300,911.940,894.560,911.940,889.100,12006754304.000,22391502.000
2005-06-13,sh000300,895.000,892.960,900.180,877.690,7944060416.000,15628002.000
2005-06-14,sh000300,895.390,883.540,905.410,882.860,7692070400.000,14343570.000
2005-06-15,sh000300,881.210,866.830,881.250,865.140,6272310272.000,11454056.000
2005-06-16,sh000300,866.660,879.240,879.490,861.830,6115269120.000,11049685.000
2005-06-17,sh000300,883.600,880.340,888.080,876.040,8285455872.000,14963009.000
2005-06-20,sh000300,881.620,906.260,906.480,872.560,10290889728.000,18992082.000
2005-06-21,sh000300,906.310,896.170,906.310,894.390,6890936832.000,12774784.000
2005-06-22,sh000300,894.770,900.650,901.240,891.930,5882401280.000,10478134.000
2005-06-23,sh000300,900.060,893.570,904.900,892.830,5465028608.000,9509308.000
2005-06-24,sh000300,892.060,898.300,898.670,888.400,4732186112.000,8918739.000
2005-06-27,sh000300,904.210,916.040,920.650,904.210,8903493632.000,16545402.000
2005-06-28,sh000300,913.480,903.720,913.480,901.210,5536098304.000,10402219.000
2005-06-29,sh000300,906.750,898.900,907.570,898.080,5751997952.000,10806746.000
2005-06-30,sh000300,897.100,878.690,897.100,876.880,5597946368.000,10855472.000
2005-07-01,sh000300,875.930,859.490,875.930,858.370,5086726656.000,10094597.000
2005-07-04,sh000300,855.320,855.930,856.100,842.810,4026099456.000,8840277.000
2005-07-05,sh000300,853.680,849.680,856.740,845.360,4529674240.000,7992688.000
2005-07-06,sh000300,850.250,842.560,854.450,838.610,3627265536.000,6898314.000
2005-07-07,sh000300,841.750,844.730,848.020,839.280,2901826560.000,5962465.000
2005-07-08,sh000300,842.620,829.490,842.620,827.230,3447787008.000,7221000.000
2005-07-11,sh000300,837.860,824.100,850.660,822.520,4092653568.000,8439006.000
2005-07-12,sh000300,821.910,851.820,854.290,818.860,7519245312.000,14989871.000
2005-07-13,sh000300,850.470,846.230,851.950,841.860,4674024448.000,9398842.000
2005-07-14,sh000300,844.940,849.590,856.090,843.180,4742557184.000,9361968.000
2005-07-15,sh000300,849.870,841.000,854.600,837.780,4203939584.000,8889563.000
2005-07-18,sh000300,839.220,832.990,840.010,829.680,3767754752.000,8500006.000
2005-07-19,sh000300,831.500,835.610,840.140,829.280,3622924800.000,7891818.000
2005-07-20,sh000300,835.300,842.640,844.710,832.140,3953440000.000,8526473.000
2005-07-21,sh000300,842.750,843.990,843.990,835.760,4118496768.000,8366101.000
2005-07-22,sh000300,847.540,859.690,867.160,842.990,10210013184.000,-21318696.000
2005-07-25,sh000300,858.330,856.860,860.950,854.280,5762384896.000,11816080.000
2005-07-26,sh000300,856.190,876.480,880.030,856.190,10513581056.000,21826776.000
2005-07-27,sh000300,876.940,894.010,894.030,876.040,9688109056.000,20409537.000
2005-07-28,sh000300,893.880,890.890,901.000,888.500,10326374400.000,20622527.000
2005-07-29,sh000300,889.410,888.160,892.290,883.380,6409061888.000,13397406.000
2005-08-01,sh000300,887.720,891.610,897.280,885.850,5451576832.000,11808309.000
2005-08-02,sh000300,892.130,903.600,903.650,888.400,6441958912.000,14292547.000
2005-08-03,sh000300,905.180,909.570,919.280,903.760,11911777280.000,25786298.000
2005-08-04,sh000300,907.420,904.150,909.830,901.630,6682690048.000,14519256.000
2005-08-05,sh000300,904.040,923.800,923.810,903.940,9585685504.000,19123765.000
2005-08-08,sh000300,926.570,927.470,933.150,923.570,11135756288.000,21608944.000
2005-08-09,sh000300,926.970,933.090,933.390,919.110,9704541184.000,19532907.000
2005-08-10,sh000300,933.260,940.370,940.370,926.280,10214863872.000,21515763.000
2005-08-11,sh000300,940.780,953.990,953.990,939.390,14042061824.000,27073666.000
2005-08-12,sh000300,954.720,938.320,959.270,933.980,14457552896.000,29168144.000
2005-08-15,sh000300,937.710,954.500,954.500,936.110,10503460864.000,20430813.000
2005-08-16,sh000300,955.270,945.060,959.340,939.920,12606080000.000,23861818.000
2005-08-17,sh000300,943.410,953.010,953.340,930.330,10910460928.000,21457769.000
2005-08-18,sh000300,954.160,920.670,956.840,919.120,15916424192.000,31855327.000
2005-08-19,sh000300,918.090,923.040,927.320,910.080,10881501184.000,22242679.000
2005-08-22,sh000300,923.110,930.250,933.350,919.220,7522398720.000,15548872.000
