日期,股票代码,开盘,收盘,最高价,最低价,成交额,成交量
1991-04-03,sz399001,988.050,988.050,988.050,988.050,10000.000,1.000
1991-04-04,sz399001,983.110,983.110,983.110,983.110,761000.000,523.000
1991-04-05,sz399001,978.270,978.270,978.270,978.270,150000.000,107.000
1991-04-06,sz399001,973.420,973.420,973.420,973.420,159000.000,102.000
1991-04-08,sz399001,968.570,968.570,968.570,968.570,84000.000,57.000
1991-04-09,sz399001,963.730,963.730,963.730,963.730,39000.000,19.000
1991-04-10,sz399001,958.880,958.880,958.880,958.880,110000.000,45.000
1991-04-11,sz399001,954.030,954.030,954.030,954.030,59000.000,45.000
1991-04-12,sz399001,949.310,949.310,949.310,949.310,113000.000,68.000
1991-04-13,sz399001,944.580,944.580,944.580,944.580,56000.000,30.000
1991-04-15,sz399001,939.980,939.980,939.980,939.980,64000.000,50.000
1991-04-16,sz399001,935.380,935.380,935.380,935.380,34000.000,22.000
1991-04-17,sz399001,930.780,930.780,930.780,930.780,30000.000,21.000
1991-04-18,sz399001,926.180,926.180,926.180,926.180,32000.000,14.000
1991-04-19,sz399001,921.580,921.580,921.580,921.580,27000.000,17.000
1991-04-20,sz399001,916.980,916.980,916.980,916.980,23000.000,5.000
1991-04-22,sz399001,912.380,912.380,912.380,912.380,0.000,0.000
1991-04-23,sz399001,907.780,907.780,907.780,907.780,150000.000,48.000
1991-04-24,sz399001,903.310,903.310,903.310,903.310,109000.000,46.000
1991-04-25,sz399001,898.840,898.840,898.840,898.840,110000.000,50.000
1991-04-26,sz399001,894.360,894.360,894.360,894.360,92000.000,53.000
1991-04-27,sz399001,889.890,889.890,889.890,889.890,26000.000,20.000
1991-04-29,sz399001,885.430,885.430,885.430,885.430,72000.000,49.000
1991-04-30,sz399001,880.980,880.980,880.980,880.980,182000.000,142.000
1991-05-02,sz399001,876.570,876.570,876.570,876.570,92000.000,72.000
1991-05-03,sz399001,872.160,872.160,872.160,872.160,103000.000,78.000
1991-05-04,sz399001,867.750,867.750,867.750,867.750,202000.000,162.000
1991-05-06,sz399001,863.350,863.350,863.350,863.350,181000.000,124.000
1991-05-07,sz399001,859.060,859.060,859.060,859.060,127000.000,102.000
1991-05-08,sz399001,854.780,854.780,854.780,854.780,697000.000,309.000
1991-05-09,sz399001,850.500,850.500,850.500,850.500,568000.000,450.000
1991-05-10,sz399001,846.220,846.220,846.220,846.220,897000.000,700.000
1991-05-11,sz399001,841.940,841.940,841.940,841.940,843000.000,686.000
1991-05-13,sz399001,837.660,837.660,837.660,837.660,1910000.000,1554.000
1991-05-14,sz399001,834.440,835.010,835.010,833.380,3874000.000,3160.000
1991-05-15,sz399001,832.360,832.540,832.540,832.360,5673000.000,3957.000
1991-05-16,sz399001,830.060,830.060,830.060,830.060,8116000.000,5918.000
1991-05-17,sz399001,827.720,827.720,827.720,827.720,11550000.000,9014.000
1991-05-18,sz399001,825.370,825.200,825.370,825.200,5153000.000,4180.000
1991-05-20,sz399001,822.670,822.670,822.670,822.670,6783000.000,5631.000
1991-05-21,sz399001,820.150,820.150,820.150,820.150,4590000.000,3708.000
1991-05-22,sz399001,817.630,817.630,817.630,817.630,5591000.000,4533.000
1991-05-23,sz399001,814.160,813.590,815.220,813.590,4006000.000,3267.000
1991-05-24,sz399001,809.560,809.560,809.560,809.560,1190000.000,1008.000
1991-05-25,sz399001,805.520,805.520,805.520,805.520,498000.000,435.000
1991-05-27,sz399001,801.480,801.480,801.480,801.480,1509000.000,1320.000
1991-05-28,sz399001,797.980,797.980,797.980,797.980,216000.000,178.000
1991-05-29,sz399001,794.610,794.610,794.610,794.610,258000.000,136.000
1991-05-30,sz399001,791.230,791.230,791.230,791.230,286000.000,204.000
1991-05-31,sz399001,787.850,787.850,787.850,787.850,96000.000,81.000
1991-06-01,sz399001,784.480,784.480,784.480,784.480,333000.000,260.000
1991-06-03,sz399001,781.100,781.100,781.100,781.100,327000.000,257.000
1991-06-04,sz399001,777.720,777.720,777.720,777.720,958000.000,801.000
1991-06-05,sz399001,774.350,774.350,774.350,774.350,1993000.000,1650.000
1991-06-06,sz399001,771.260,771.260,771.260,771.260,35000.000,24.000
1991-06-07,sz399001,768.160,768.160,768.160,768.160,106000.000,106.000
1991-06-08,sz399001,765.360,758.740,765.360,757.270,108000.000,101.000
1991-06-10,sz399001,754.250,733.650,754.250,733.650,175000.000,165.000
1991-06-11,sz399001,733.700,756.510,756.510,732.230,762000.000,987.000
1991-06-12,sz399001,755.260,753.060,758.210,751.410,1221000.000,1905.000
1991-06-13,sz399001,751.070,745.920,751.070,745.920,2176000.000,2389.000
1991-06-14,sz399001,743.200,735.670,743.200,734.200,2081000.000,2362.000
1991-06-15,sz399001,732.780,728.360,734.250,726.890,965000.000,1057.000
1991-06-17,sz399001,716.990,721.000,721.180,715.140,1809000.000,2100.000
1991-06-18,sz399001,717.130,721.210,721.940,716.400,1106000.000,1485.000
1991-06-19,sz399001,717.710,717.330,721.370,715.880,1871000.000,2312.000
1991-06-20,sz399001,714.180,710.120,714.180,707.560,1666000.000,2250.000
1991-06-21,sz399001,706.970,704.410,707.350,703.660,1263000.000,1802.000
1991-06-22,sz399001,700.890,698.330,702.720,697.230,1568000.000,2211.000
1991-06-24,sz399001,694.200,689.790,696.760,687.180,1895000.000,2765.000
1991-06-25,sz399001,685.300,690.090,691.550,684.930,3358000.000,6183.000
1991-06-26,sz399001,686.210,693.960,695.280,683.890,3583000.000,6566.000
1991-06-27,sz399001,690.660,694.900,697.460,687.670,4828000.000,8649.000
1991-06-28,sz399001,691.450,691.410,693.370,686.530,4561000.000,10643.000
1991-06-29,sz399001,689.110,690.480,691.310,684.190,2384000.000,4476.000
1991-07-01,sz399001,685.650,684.010,687.480,680.830,5472000.000,9790.000
1991-07-02,sz399001,680.400,670.150,683.340,665.390,2981000.000,7852.000
1991-07-03,sz399001,666.810,669.060,671.950,660.930,4811000.000,8494.000
1991-07-04,sz399001,665.850,661.610,667.540,660.420,3102000.000,1135.000
1991-07-05,sz399001,659.380,652.380,660.660,648.220,3527000.000,7660.000
1991-07-06,sz399001,647.800,643.190,648.080,639.010,1953000.000,5270.000
1991-07-08,sz399001,640.790,628.450,641.410,623.230,3213000.000,6982.000
1991-07-09,sz399001,620.780,611.990,620.780,603.040,2680000.000,9842.000
1991-07-10,sz399001,609.630,614.920,617.190,607.640,3378000.000,9245.000
1991-07-11,sz399001,612.620,608.270,615.000,604.760,2827000.000,6137.000
1991-07-12,sz399001,605.550,603.020,606.190,598.860,3593000.000,8516.000
1991-07-13,sz399001,600.750,602.690,604.110,599.660,1638000.000,4881.000
1991-07-15,sz399001,600.470,594.380,600.750,590.810,2520000.000,5966.000
1991-07-16,sz399001,591.970,584.850,592.960,581.740,2806000.000,6642.000
1991-07-17,sz399001,580.060,576.750,582.330,572.520,2660000.000,7112.000
1991-07-18,sz399001,574.990,608.910,613.830,573.600,2827000.000,5936.000
1991-07-19,sz399001,609.390,616.730,640.220,606.250,6045000.000,10972.000
1991-07-20,sz399001,611.180,602.900,612.150,594.450,3220000.000,6142.000
1991-07-22,sz399001,603.600,601.760,607.840,595.850,4805000.000,12574.000
1991-07-23,sz399001,598.450,601.900,605.820,594.920,2664000.000,8344.000
1991-07-24,sz399001,598.470,598.810,600.090,594.650,2310000.000,4795.000
